Måling,Dato,Ap,Høyre,Frp,SV,Sp,KrF,Venstre,MDG,Rødt,Andre,Year,Month
Opinion/ANB,2008-04-24,27.0,16.4,26.1,5.7,5.4,7.1,8.7,0.0,0.0,0.0,2008,4
Norstat/NRK,2008-04-24,29.4,16.9,24.7,5.9,5.3,7.1,8.4,0.0,1.9,0.0,2008,4
Norstat/VL,2008-04-18,28.9,12.6,26.8,7.4,6.1,8.3,7.2,0.0,0.0,0.0,2008,4
Respons/Aftenp,2008-04-12,31.6,15.7,25.3,7.5,5.5,5.7,6.4,0.0,0.9,0.0,2008,4
Sentio/Nat. / KK,2008-04-12,28.5,16.9,26.8,6.8,4.2,7.7,6.4,0.0,2.1,0.0,2008,4
Sentio/BT,2008-04-03,28.6,16.7,27.4,5.7,5.4,6.6,6.4,0.0,1.5,0.0,2008,4
Verian/TV2,2008-04-03,31.6,18.2,23.5,6.4,5.2,6.9,4.9,0.0,1.1,0.0,2008,4
InFact/VG,2008-05-31,26.7,19.2,27.8,5.5,5.0,6.5,5.5,0.0,1.8,0.0,2008,5
Sentio/BT,2008-05-29,29.4,14.5,28.1,7.7,5.2,6.8,5.7,0.0,1.4,0.0,2008,5
Ipsos/Dagbladet,2008-05-26,26.8,18.8,21.8,8.2,7.9,6.5,6.6,0.0,2.5,0.0,2008,5
Norstat/VL,2008-05-23,30.3,16.8,24.7,8.3,6.3,6.1,5.3,0.0,0.0,0.0,2008,5
Opinion/ANB,2008-05-22,25.3,17.8,27.7,5.9,5.7,7.1,8.4,0.0,1.9,0.0,2008,5
Sentio/DN,2008-05-16,29.8,17.0,28.3,7.4,4.7,5.2,5.4,0.0,0.0,0.0,2008,5
Respons/Aftenp,2008-05-09,28.8,19.0,24.8,7.0,4.7,6.8,7.0,0.0,1.3,0.0,2008,5
Norstat/NRK,2008-05-08,30.9,18.3,25.1,6.7,6.5,6.2,5.4,0.0,0.5,0.0,2008,5
Verian/TV2,2008-05-05,29.4,18.1,25.6,5.3,5.1,4.6,7.0,0.0,3.4,0.0,2008,5
Sentio/BT,2008-05-02,31.1,18.9,24.7,5.4,5.4,6.5,5.5,0.0,1.3,0.0,2008,5
Sentio/BT,2008-06-26,26.1,16.4,29.8,7.0,4.4,6.4,6.7,0.0,1.6,0.0,2008,6
Opinion/ANB,2008-06-26,24.4,16.8,30.4,6.2,5.2,6.6,7.7,0.0,2.3,0.0,2008,6
Ipsos/Dagbladet,2008-06-23,26.8,19.7,23.4,7.1,6.3,7.0,6.0,0.0,2.0,0.0,2008,6
Respons/Aftenp,2008-06-21,26.4,17.8,30.7,6.5,5.3,4.7,5.6,0.0,1.5,0.0,2008,6
Norstat/VL,2008-06-21,27.3,17.0,30.1,5.7,5.1,5.6,5.3,0.0,2.0,0.0,2008,6
Sentio/DN,2008-06-13,23.9,17.9,29.6,7.1,5.2,6.5,5.5,0.0,1.6,0.0,2008,6
Norstat/NRK,2008-06-04,26.6,17.0,30.8,6.9,5.9,6.3,4.0,0.0,1.1,0.0,2008,6
Verian/TV2,2008-06-03,26.5,18.4,26.3,8.3,4.7,6.0,6.6,0.0,2.3,0.0,2008,6
Norstat/NRK,2008-07-23,28.1,16.1,30.7,5.7,4.5,5.6,5.6,0.0,2.2,0.0,2008,7
Norstat/VL,2008-07-18,26.5,16.7,29.7,7.2,3.9,6.3,5.9,0.0,2.5,0.0,2008,7
Sentio/DN,2008-07-11,26.5,17.1,30.3,6.4,5.4,6.2,5.6,0.0,1.4,0.0,2008,7
Norstat/NRK,2008-07-03,26.0,15.8,30.6,6.7,6.3,6.3,5.3,0.0,1.7,0.0,2008,7
InFact/VG,2008-07-01,25.7,20.7,29.7,5.9,4.5,6.0,4.6,0.0,1.5,0.0,2008,7
Verian/TV2,2008-07-01,28.3,16.5,30.3,7.7,3.4,6.1,5.4,0.0,1.8,0.0,2008,7
Ipsos/Dagbladet,2008-08-31,28.2,17.3,23.3,9.2,7.1,5.7,5.2,0.0,2.0,0.0,2008,8
Sentio/BT,2008-08-28,26.6,14.7,32.2,6.2,6.2,5.6,6.3,0.0,1.2,0.0,2008,8
Respons/Aftenp,2008-08-22,28.9,17.1,30.7,5.6,5.4,5.0,5.9,0.0,1.1,0.0,2008,8
Norstat/VL,2008-08-22,26.7,12.7,31.9,7.5,5.1,6.0,6.9,0.0,1.1,0.0,2008,8
Opinion/ANB,2008-08-21,23.1,16.1,32.8,6.2,5.3,6.4,6.3,0.0,2.4,0.0,2008,8
InFact/VG,2008-08-19,26.3,18.0,29.7,6.0,5.4,5.9,5.7,0.0,1.9,0.0,2008,8
Sentio/DN,2008-08-14,24.2,16.6,34.0,5.6,4.8,5.6,7.0,0.0,1.8,0.0,2008,8
Norstat/NRK,2008-08-07,26.2,16.2,32.1,7.0,5.0,5.8,5.1,0.0,1.7,0.0,2008,8
Verian/TV2,2008-08-05,28.0,18.4,30.5,7.3,2.5,3.6,6.9,0.0,1.7,0.0,2008,8
Sentio/BT,2008-08-01,27.4,15.2,31.6,6.4,5.6,5.5,4.6,0.0,1.9,0.0,2008,8
Ipsos/Dagbladet,2008-09-28,30.0,15.7,27.9,6.1,5.1,5.9,7.4,0.0,1.0,0.0,2008,9
Opinion/ANB,2008-09-25,26.1,14.9,32.8,6.3,3.7,6.3,6.6,0.0,2.2,0.0,2008,9
Norstat/NRK,2008-09-24,29.5,13.3,29.2,8.4,5.3,5.8,4.5,0.0,1.3,0.0,2008,9
Respons/Aftenp,2008-09-19,27.9,14.6,31.7,6.1,5.6,5.8,5.9,0.0,1.7,0.0,2008,9
Norstat/VL,2008-09-19,29.4,14.8,28.2,7.2,5.4,5.8,5.5,0.0,0.0,0.0,2008,9
Sentio/DN,2008-09-12,28.6,15.5,31.3,5.8,4.5,5.7,5.5,0.0,1.6,0.0,2008,9
InFact/VG,2008-09-05,28.8,18.5,27.9,5.4,5.3,5.2,5.8,0.0,2.1,0.0,2008,9
Norstat/NRK,2008-09-04,29.3,13.8,30.7,6.0,5.5,6.5,5.4,0.0,1.7,0.0,2008,9
Verian/TV2,2008-09-01,30.4,15.4,29.2,5.7,4.8,4.2,6.3,0.0,2.3,0.0,2008,9
Sentio/BT,2008-10-30,33.0,15.2,26.1,6.4,6.0,4.8,5.0,0.0,1.5,0.0,2008,10
Ipsos/Dagbladet,2008-10-25,31.1,17.0,21.9,11.0,5.7,5.8,4.4,0.0,1.4,0.0,2008,10
Opinion/ANB,2008-10-23,26.4,15.7,29.1,6.8,5.9,6.0,6.5,0.0,2.2,0.0,2008,10
Norstat/NRK,2008-10-23,32.2,15.2,26.3,7.5,4.5,5.7,5.9,0.0,1.5,0.0,2008,10
Norstat/VL,2008-10-17,30.9,15.9,26.8,6.1,6.3,5.7,5.7,0.0,0.0,0.0,2008,10
Respons/Aftenp,2008-10-17,31.5,16.0,25.1,7.4,4.2,6.2,7.7,0.0,1.7,0.0,2008,10
InFact/VG,2008-10-13,31.0,19.5,24.9,5.5,5.3,5.8,4.7,0.0,1.1,0.0,2008,10
Sentio/DN,2008-10-10,29.8,14.2,30.7,7.9,5.0,4.7,4.8,0.0,0.0,0.0,2008,10
Verian/TV2,2008-10-06,29.2,16.3,27.7,7.1,4.7,6.1,5.4,0.0,2.2,0.0,2008,10
Sentio/BT,2008-10-04,30.5,15.9,28.3,7.4,5.4,5.3,4.6,0.0,0.8,0.0,2008,10
Opinion/ANB,2008-11-27,27.2,17.0,24.3,7.5,7.3,6.3,6.7,0.0,2.2,0.0,2008,11
Sentio/BT,2008-11-27,30.6,14.2,24.9,9.4,5.9,6.8,5.4,0.0,0.9,0.0,2008,11
Ipsos/Dagbladet,2008-11-22,32.0,17.7,20.3,6.3,6.8,6.6,7.1,0.0,2.3,0.0,2008,11
Norstat/VL,2008-11-21,30.4,16.4,25.4,8.4,5.0,6.9,4.9,0.0,0.0,0.0,2008,11
Sentio/DN,2008-11-14,35.5,14.7,24.9,7.3,4.2,5.2,5.9,0.0,1.3,0.0,2008,11
Respons/Aftenp,2008-11-14,30.8,16.5,23.0,7.5,6.2,7.1,5.7,0.0,2.0,0.0,2008,11
Norstat/NRK,2008-11-06,31.1,14.5,27.5,8.5,4.8,6.6,5.5,0.0,0.8,0.0,2008,11
Verian/TV2,2008-11-04,33.6,16.4,23.5,7.1,4.0,7.4,5.2,0.0,1.4,0.0,2008,11
Sentio/BT,2008-12-24,30.3,16.0,26.7,7.4,4.8,6.6,5.3,0.0,0.0,0.0,2008,12
Norstat/VL,2008-12-24,31.0,16.5,25.0,7.5,5.6,6.4,5.2,0.0,0.0,0.0,2008,12
Ipsos/Dagbladet,2008-12-21,31.1,15.2,20.9,9.7,6.8,6.2,7.0,0.0,0.0,0.0,2008,12
Opinion/ANB,2008-12-19,27.5,19.1,25.1,7.5,5.4,6.2,5.1,0.0,0.0,0.0,2008,12
Sentio/DN,2008-12-15,29.9,16.8,24.0,8.8,5.9,6.2,5.8,0.0,0.0,0.0,2008,12
Respons/Aftenp,2008-12-13,32.5,18.2,21.5,7.2,5.9,6.7,6.1,0.0,0.0,0.0,2008,12
Norfakta/Nat. / KK,2008-12-13,31.5,19.0,23.3,7.7,5.4,6.3,4.5,0.0,0.0,0.0,2008,12
InFact/VG,2008-12-11,30.3,19.2,22.6,6.6,5.8,6.7,4.9,0.0,0.0,0.0,2008,12
Norstat/NRK,2008-12-04,30.7,17.1,25.9,8.1,5.3,6.1,5.1,0.0,1.2,0.0,2008,12
Verian/TV2,2008-12-01,32.4,16.7,21.6,7.9,6.1,5.4,5.8,0.0,2.7,0.0,2008,12
Sentio/BT,2009-01-30,36.5,13.9,24.5,6.8,5.3,5.9,4.5,0.0,0.0,0.0,2009,1
Ipsos/Dagbladet,2009-01-25,34.5,16.6,19.5,9.2,5.5,5.2,5.4,0.0,0.0,0.0,2009,1
Norstat/VL,2009-01-23,35.3,14.6,23.1,6.7,6.2,5.9,4.7,0.0,0.0,0.0,2009,1
InFact/VG,2009-01-22,33.7,17.2,20.3,6.0,7.4,8.1,4.3,0.0,0.0,0.0,2009,1
Opinion/ANB,2009-01-21,28.7,15.2,28.6,8.1,6.0,5.6,5.1,0.0,0.0,0.0,2009,1
Respons/Aftenp,2009-01-16,35.2,17.7,21.7,7.3,4.5,5.9,4.7,0.0,0.0,0.0,2009,1
Sentio/DN,2009-01-15,32.7,15.2,24.6,9.0,5.5,6.3,4.3,0.0,0.0,0.0,2009,1
Verian/TV2,2009-01-13,34.4,16.6,22.8,8.1,4.8,4.4,5.3,0.0,0.0,0.0,2009,1
Norfakta/Nat. / KK,2009-01-10,34.8,16.0,22.4,7.5,5.1,5.5,5.9,0.0,0.0,0.0,2009,1
Norstat/NRK,2009-01-08,33.2,17.6,24.4,6.6,4.8,7.1,4.2,0.0,0.0,0.0,2009,1
Norstat/VL,2009-02-27,33.0,12.6,29.4,7.1,4.3,5.2,5.9,0.0,0.0,0.0,2009,2
Ipsos/Dagbladet,2009-02-22,35.1,15.6,20.8,8.4,4.7,5.9,6.8,0.0,0.0,0.0,2009,2
Sentio/DN,2009-02-19,32.6,14.0,25.8,7.9,3.5,7.4,6.4,0.0,0.0,0.0,2009,2
Opinion/ANB,2009-02-19,30.5,16.7,24.5,6.8,5.2,6.0,7.3,0.0,0.0,0.0,2009,2
InFact/VG,2009-02-15,33.9,18.7,21.9,5.5,6.1,5.6,4.5,0.0,0.0,0.0,2009,2
Norfakta/Nat. / KK,2009-02-14,34.0,14.5,24.0,7.1,5.7,6.4,5.4,0.0,0.0,0.0,2009,2
Respons/Aftenp,2009-02-13,36.2,14.4,24.0,7.9,5.0,5.5,5.3,0.0,0.0,0.0,2009,2
Norstat/NRK,2009-02-12,35.4,15.8,21.6,6.8,5.5,5.2,6.6,0.0,0.0,0.0,2009,2
Verian/TV2,2009-02-02,35.7,14.8,23.0,6.4,5.1,5.6,6.8,0.0,0.0,0.0,2009,2
Norstat/VL,2009-03-27,31.7,13.3,29.7,6.9,5.0,7.3,3.7,0.0,0.0,0.0,2009,3
Ipsos/Dagbladet,2009-03-21,36.2,11.5,23.7,9.9,5.5,4.7,5.0,0.0,0.0,0.0,2009,3
InFact/VG,2009-03-20,32.2,13.4,27.2,6.9,6.6,6.5,5.0,0.0,0.0,0.0,2009,3
Sentio/DN,2009-03-19,32.9,14.7,26.9,6.1,5.7,6.5,4.5,0.0,0.0,0.0,2009,3
Opinion/ANB,2009-03-18,28.4,13.2,30.9,6.4,6.8,5.6,6.1,0.0,0.0,0.0,2009,3
Respons/Aftenp,2009-03-13,32.8,14.2,25.4,6.0,5.9,6.1,6.5,0.0,0.0,0.0,2009,3
Norstat/NRK,2009-03-12,31.3,14.1,30.1,6.6,5.0,5.7,5.3,0.0,0.0,0.0,2009,3
Norfakta/Nat. / KK,2009-03-09,31.0,14.7,28.0,6.9,4.6,6.9,4.7,0.0,0.0,0.0,2009,3
Sentio/BT,2009-03-04,35.9,13.4,25.9,6.8,4.3,7.1,5.1,0.0,0.0,0.0,2009,3
Verian/TV2,2009-03-02,35.5,15.6,24.7,7.0,5.1,5.2,4.5,0.0,0.0,0.0,2009,3
Sentio/BT,2009-04-30,33.0,13.2,25.8,7.4,6.3,5.8,5.7,0.0,0.0,0.0,2009,4
Ipsos/Dagbladet,2009-04-25,35.2,14.0,25.2,6.4,6.0,7.3,3.9,0.0,0.0,0.0,2009,4
Respons/Aftenp,2009-04-24,33.3,15.6,26.0,6.4,5.6,5.3,5.1,0.0,0.0,0.0,2009,4
Norstat/VL,2009-04-24,34.5,10.8,30.3,6.5,6.5,4.8,4.2,0.0,0.0,0.0,2009,4
Opinion/ANB,2009-04-23,29.1,13.9,28.5,7.6,5.8,5.9,6.2,0.0,0.0,0.0,2009,4
Norfakta/Nat. / KK,2009-04-18,33.6,14.1,27.7,5.5,4.7,6.6,5.3,0.0,0.0,0.0,2009,4
Sentio/DN,2009-04-17,29.7,13.9,28.4,9.0,5.3,5.7,5.3,0.0,0.0,0.0,2009,4
InFact/VG,2009-04-17,29.1,17.6,25.8,7.2,5.1,6.0,5.2,0.0,0.0,0.0,2009,4
Norstat/NRK,2009-04-09,31.7,13.7,26.4,7.0,6.8,7.2,4.6,0.0,0.0,0.0,2009,4
Sentio/BT,2009-04-02,31.5,13.3,29.6,7.1,5.3,5.9,4.7,0.0,0.0,0.0,2009,4
Verian/TV2,2009-04-02,35.7,12.6,26.0,7.7,5.9,5.1,3.4,0.0,0.0,0.0,2009,4
Sentio/BT,2009-05-30,32.7,12.3,29.6,7.4,4.7,5.9,3.7,0.0,0.0,0.0,2009,5
Ipsos/Dagbladet,2009-05-30,32.6,14.5,20.6,11.1,5.3,5.9,5.4,0.0,0.0,0.0,2009,5
Norstat/VL,2009-05-15,35.4,14.1,26.0,7.3,4.7,6.6,4.1,0.0,0.0,0.0,2009,5
Respons/Aftenp,2009-05-15,35.8,15.2,24.0,5.8,4.7,5.3,5.9,0.0,0.0,0.0,2009,5
Sentio/DN,2009-05-15,31.5,13.2,30.3,6.3,4.0,5.8,5.8,0.0,0.0,0.0,2009,5
InFact/VG,2009-05-15,33.3,15.9,25.9,6.0,6.0,6.5,3.7,0.0,0.0,0.0,2009,5
Opinion/ANB,2009-05-14,29.0,13.0,28.5,7.1,4.3,5.9,8.7,0.0,0.0,0.0,2009,5
Norfakta/Nat. / KK,2009-05-09,31.3,13.9,26.9,8.2,6.1,6.5,4.8,0.0,0.0,0.0,2009,5
Norstat/NRK,2009-05-07,34.1,11.9,27.7,6.7,5.8,6.5,5.9,0.0,0.0,0.0,2009,5
Verian/TV2,2009-05-04,33.0,14.3,24.2,8.9,4.2,5.3,5.9,0.0,0.0,0.0,2009,5
Ipsos/Dagbladet,2009-06-28,33.0,14.4,22.0,9.9,6.8,6.1,5.2,0.0,0.0,0.0,2009,6
InFact/VG,2009-06-28,32.3,13.2,26.7,6.2,6.2,8.6,4.1,0.0,0.0,0.0,2009,6
Norstat/VL,2009-06-26,29.4,13.4,28.6,8.3,6.3,5.7,5.9,0.0,0.0,0.0,2009,6
Sentio/DN,2009-06-18,33.7,12.1,26.1,6.6,6.0,6.0,6.4,0.0,0.0,0.0,2009,6
Respons/Aftenp,2009-06-12,35.4,13.5,26.1,5.5,4.3,5.8,5.6,0.0,0.0,0.0,2009,6
Opinion/ANB,2009-06-10,29.4,13.6,28.1,7.0,5.7,6.0,6.7,0.0,0.0,0.0,2009,6
Norstat/NRK,2009-06-10,33.0,14.9,25.6,6.1,5.2,5.4,5.6,0.0,0.0,0.0,2009,6
Norfakta/Nat. / KK,2009-06-08,34.1,12.7,25.5,7.1,4.9,6.0,6.4,0.0,0.0,0.0,2009,6
Verian/TV2,2009-06-04,34.7,14.6,26.0,8.4,5.8,3.8,4.7,0.0,0.0,0.0,2009,6
Sentio/BT,2009-07-31,34.2,10.9,28.3,6.3,5.9,6.1,5.6,0.0,0.0,0.0,2009,7
Norstat/VL,2009-07-24,35.1,15.1,26.1,6.0,4.7,5.6,4.9,0.0,0.0,0.0,2009,7
Sentio/DN,2009-07-17,34.7,12.5,29.1,7.8,5.1,5.2,3.7,0.0,0.0,0.0,2009,7
Opinion/ANB,2009-07-09,29.4,16.3,27.0,6.6,5.2,5.5,6.0,0.0,0.0,0.0,2009,7
Norstat/NRK,2009-07-08,33.2,12.0,29.7,7.1,4.9,6.1,4.2,0.0,0.0,0.0,2009,7
Norstat/VL,2009-07-06,32.6,13.0,29.8,6.7,5.3,5.7,4.6,0.0,0.0,0.0,2009,7
Sentio/BT,2009-07-03,34.4,12.3,25.0,7.8,6.5,7.0,5.3,0.0,0.0,0.0,2009,7
Verian/TV2,2009-07-02,34.7,12.9,25.3,8.7,4.1,6.7,4.6,0.0,0.0,0.0,2009,7
Verian/TV2,2009-08-31,31.9,14.0,23.8,7.1,6.0,7.0,6.0,0.0,0.0,0.0,2009,8
Ipsos/Dagbladet,2009-08-29,32.3,15.0,22.1,10.4,5.7,5.7,4.7,0.0,0.0,0.0,2009,8
Sentio/BT,2009-08-28,32.9,12.9,25.5,8.2,5.8,6.7,5.7,0.0,0.0,0.0,2009,8
Respons/Aftenp,2009-08-28,34.0,13.3,25.6,7.0,5.2,5.9,5.0,0.0,0.0,0.0,2009,8
Verian/TV2,2009-08-26,33.0,14.6,23.5,8.5,5.9,6.3,5.1,0.0,0.0,0.0,2009,8
InFact/VG,2009-08-26,32.9,18.1,21.8,8.4,6.4,4.9,4.2,0.0,0.0,0.0,2009,8
Respons/Aftenp,2009-08-21,32.0,14.8,24.4,7.4,6.6,5.8,6.2,0.0,0.0,0.0,2009,8
Norstat/VL,2009-08-20,31.8,13.2,28.4,6.8,6.4,5.3,4.7,0.0,0.0,0.0,2009,8
Opinion/ANB,2009-08-20,31.6,13.0,28.6,7.1,4.8,6.3,5.4,0.0,0.0,0.0,2009,8
InFact/VG,2009-08-19,30.4,16.4,25.4,6.6,6.9,6.1,6.1,0.0,0.0,0.0,2009,8
Verian/TV2,2009-08-19,33.9,13.2,24.8,6.7,5.0,6.4,5.4,0.0,0.0,0.0,2009,8
Norstat/NRK,2009-08-18,32.7,11.1,27.5,9.2,5.3,6.3,6.2,0.0,0.0,0.0,2009,8
Sentio/DN,2009-08-14,31.0,13.8,27.6,7.3,5.0,5.4,5.7,0.0,0.0,0.0,2009,8
Opinion/ANB,2009-08-13,30.4,14.1,27.7,7.4,5.7,5.8,5.7,0.0,0.0,0.0,2009,8
Respons/Aftenp,2009-08-13,32.8,16.4,24.5,6.8,5.2,6.8,5.3,0.0,0.0,0.0,2009,8
InFact/VG,2009-08-12,32.1,14.9,25.4,6.3,7.1,5.8,4.7,0.0,0.0,0.0,2009,8
Verian/TV2,2009-08-10,33.7,13.5,26.5,6.7,7.0,5.0,4.5,0.0,0.0,0.0,2009,8
Norfakta/Nat. / KK,2009-08-10,31.4,12.8,26.7,7.6,5.2,7.8,5.4,0.0,0.0,0.0,2009,8
InFact/VG,2009-08-06,32.7,15.0,24.3,7.3,6.5,6.2,4.8,0.0,0.0,0.0,2009,8
Norstat/NRK,2009-08-05,33.0,11.3,28.1,7.1,6.0,6.6,4.9,0.0,0.0,0.0,2009,8
Sentio/DN,2009-09-14,32.7,14.1,22.1,7.3,6.5,6.4,4.3,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-13,32.2,17.5,21.4,6.9,6.9,6.4,5.4,0.0,0.0,0.0,2009,9
Respons/Aftenp,2009-09-13,33.9,17.6,20.8,6.6,6.6,6.3,4.7,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-12,32.5,17.8,22.7,7.2,5.4,5.7,5.2,0.0,0.0,0.0,2009,9
Ipsos/Dagbladet,2009-09-12,33.8,14.5,21.4,9.1,5.9,6.9,4.7,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-11,34.8,17.6,20.9,6.9,5.6,7.0,4.4,0.0,0.0,0.0,2009,9
Opinion/ANB,2009-09-11,28.9,16.9,24.9,6.8,5.9,7.1,6.0,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-11,32.7,18.4,22.6,6.4,5.5,6.1,5.1,0.0,0.0,0.0,2009,9
Respons/Aftenp,2009-09-10,34.9,17.2,21.7,7.4,6.3,6.3,4.7,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-10,32.9,18.6,23.0,6.1,5.4,6.1,4.9,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-09,33.4,18.5,22.6,6.9,4.9,6.5,4.4,0.0,0.0,0.0,2009,9
Norstat/NRK,2009-09-09,35.0,13.1,24.0,5.8,6.2,6.9,6.0,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-09,32.0,17.5,21.3,6.6,6.3,6.2,6.4,0.0,0.0,0.0,2009,9
Opinion/ANB,2009-09-09,30.4,15.0,24.3,7.5,5.3,5.9,7.5,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-08,33.2,17.9,23.4,7.4,5.0,6.3,4.2,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-07,32.9,17.3,22.5,7.6,5.5,7.4,4.2,0.0,0.0,0.0,2009,9
Norfakta/Nat. / KK,2009-09-07,33.3,14.9,24.8,6.9,5.0,6.6,5.4,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-07,32.4,16.8,23.7,5.7,6.4,5.8,5.2,0.0,0.0,0.0,2009,9
Ipsos/Dagbladet,2009-09-05,32.8,13.4,22.2,7.9,7.5,6.6,4.8,0.0,0.0,0.0,2009,9
Respons/Aftenp,2009-09-04,31.5,12.6,25.6,7.8,7.9,6.7,5.7,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-04,33.9,15.2,23.7,7.3,5.6,5.6,5.4,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-03,29.1,18.1,21.9,7.7,6.6,6.7,5.5,0.0,0.0,0.0,2009,9
Opinion/ANB,2009-09-03,31.0,16.7,23.7,7.0,5.4,6.5,6.5,0.0,0.0,0.0,2009,9
Verian/TV2,2009-09-02,32.7,14.6,23.8,7.1,6.1,6.2,5.6,0.0,0.0,0.0,2009,9
Norstat/NRK,2009-09-02,33.5,13.6,25.1,7.1,6.0,6.6,5.5,0.0,0.0,0.0,2009,9
InFact/VG,2009-09-01,31.2,16.9,23.4,6.9,7.1,6.4,5.0,0.0,0.0,0.0,2009,9
Ipsos/Dagbladet,2009-10-31,36.4,18.7,22.9,5.2,5.1,5.1,4.1,0.0,0.0,0.0,2009,10
Respons/Aftenp,2009-10-23,35.8,19.7,21.3,6.5,5.5,4.4,4.1,0.0,0.0,0.0,2009,10
Opinion/ANB,2009-10-22,33.4,19.9,23.3,6.8,5.2,4.4,4.8,0.0,0.0,0.0,2009,10
Norstat/VL,2009-10-22,35.3,18.4,23.8,5.2,5.8,4.5,3.2,0.0,0.0,0.0,2009,10
Verian/TV2,2009-10-05,35.4,19.7,22.5,6.6,5.5,3.7,4.1,0.0,0.0,0.0,2009,10
Sentio/BT,2009-11-28,33.8,21.2,23.3,5.7,4.7,4.9,3.7,0.0,1.3,0.0,2009,11
Ipsos/Dagbladet,2009-11-28,32.9,21.1,22.8,6.5,5.5,5.4,3.8,0.0,1.1,0.0,2009,11
InFact/VG,2009-11-26,30.5,21.8,19.4,6.0,7.5,7.3,4.2,0.0,1.9,0.0,2009,11
